Winner,First_pokemon,Second_pokemon,WTag
727,224,727,2
735,735,787,1
5,693,5,2
37,502,37,2
531,611,531,2
785,407,785,2
101,645,101,2
602,602,355,1
202,678,202,2
541,541,595,1
139,26,139,2
175,439,175,2
469,504,469,2
663,531,663,2
347,347,621,1
534,507,534,2
93,559,93,2
388,388,43,1
755,399,755,2
262,579,262,2
219,219,433,1
584,47,584,2
557,357,557,2
666,512,666,2
682,40,682,2
232,242,232,2
124,174,124,2
629,629,451,1
606,606,22,1
565,565,1,1
32,227,32,2
282,251,282,2
104,94,104,2
658,769,658,2
426,426,69,1
697,219,697,2
477,477,285,1
702,303,702,2
484,484,382,1
59,59,528,1
446,446,332,1
499,724,499,2
372,771,372,2
720,720,669,1
428,428,342,1
431,431,233,1
309,566,309,2
476,476,527,1
84,84,77,1
394,532,394,2
551,754,551,2
651,575,651,2
674,674,303,1
72,72,607,1
207,224,207,2
384,384,168,1
629,464,629,2
417,321,417,2
527,527,571,1
456,660,456,2
194,194,49,1
330,330,651,1
64,74,64,2
495,495,612,1
232,232,392,1
128,200,128,2
694,585,694,2
737,51,737,2
534,719,534,2
426,156,426,2
440,579,440,2
195,195,763,1
177,173,177,2
443,443,198,1
348,788,348,2
490,323,490,2
159,100,159,2
20,20,61,1
267,460,267,2
727,601,727,2
635,735,635,2
99,99,328,1
570,570,744,1
691,691,240,1
429,704,429,2
565,565,335,1
179,77,179,2
747,524,747,2
560,560,455,1
255,255,615,1
184,184,518,1
686,488,686,2
197,599,197,2
576,576,725,1
9,9,632,1
221,274,221,2
312,87,312,2
520,779,520,2
212,788,212,2
193,193,244,1
11,11,96,1
793,458,793,2
138,138,336,1
202,95,202,2
215,215,335,1
521,303,521,2
188,708,188,2
365,365,678,1
550,550,25,1
271,287,271,2
200,200,789,1
793,358,793,2
339,339,83,1
438,438,366,1
348,420,348,2
265,265,578,1
219,411,219,2
347,347,504,1
377,377,49,1
426,580,426,2
57,57,488,1
747,114,747,2
502,502,755,1
701,701,452,1
638,638,783,1
384,21,384,2
124,124,504,1
583,583,794,1
307,307,143,1
11,11,460,1
604,113,604,2
613,788,613,2
262,676,262,2
92,92,493,1
563,456,563,2
36,784,36,2
204,755,204,2
227,354,227,2
648,351,648,2
767,237,767,2
554,232,554,2
472,193,472,2
396,396,390,1
759,759,402,1
623,591,623,2
410,576,410,2
301,625,301,2
509,15,509,2
708,760,708,2
299,473,299,2
258,385,258,2
786,337,786,2
537,152,537,2
38,695,38,2
660,660,258,1
715,715,689,1
747,716,747,2
557,557,483,1
23,173,23,2
414,414,138,1
609,584,609,2
513,87,513,2
69,323,69,2
139,50,139,2
171,171,256,1
70,383,70,2
146,231,146,2
581,581,756,1
438,182,438,2
341,341,739,1
661,156,661,2
616,616,615,1
285,218,285,2
225,699,225,2
551,260,551,2
94,346,94,2
568,222,568,2
553,458,553,2
451,625,451,2
609,609,406,1
181,181,36,1
553,553,699,1
800,800,757,1
425,425,121,1
174,174,753,1
785,153,785,2
404,208,404,2
402,402,201,1
732,239,732,2
93,93,18,1
284,284,10,1
799,774,799,2
686,152,686,2
496,496,343,1
732,452,732,2
518,518,81,1
24,715,24,2
209,209,291,1
735,601,735,2
496,496,420,1
763,763,35,1
289,798,289,2
598,598,42,1
368,625,368,2
286,286,759,1
677,547,677,2
223,223,494,1
643,643,311,1
298,347,298,2
519,519,128,1
201,512,201,2
722,722,456,1
368,48,368,2
632,193,632,2
478,478,266,1
676,676,449,1
409,390,409,2
164,164,268,1
143,143,89,1
484,104,484,2
644,644,363,1
103,40,103,2
629,629,698,1
756,29,756,2
492,492,593,1
705,139,705,2
313,313,49,1
418,418,661,1
299,198,299,2
25,25,435,1
108,788,108,2
275,39,275,2
313,765,313,2
600,613,600,2
273,273,624,1
519,519,283,1
293,293,49,1
670,670,510,1
249,249,92,1
766,407,766,2
314,321,314,2
554,15,554,2
40,447,40,2
530,530,194,1
605,256,605,2
665,639,665,2
573,573,605,1
715,460,715,2
115,115,5,1
596,238,596,2
276,579,276,2
263,65,263,2
707,596,707,2
177,401,177,2
543,761,543,2
175,175,762,1
30,30,268,1
521,521,237,1
450,328,450,2
128,128,309,1
695,695,593,1
64,53,64,2
407,15,407,2
23,273,23,2
115,650,115,2
398,626,398,2
375,510,375,2
86,86,657,1
230,79,230,2
637,637,195,1
777,584,777,2
24,24,10,1
785,785,380,1
67,586,67,2
3,3,179,1
400,207,400,2
177,509,177,2
519,519,160,1
413,413,749,1
277,738,277,2
165,756,165,2
193,193,466,1
32,32,538,1
586,586,102,1
745,745,436,1
435,156,435,2
406,406,795,1
308,695,308,2
393,400,393,2
412,483,412,2
692,776,692,2
596,562,596,2
125,125,558,1
596,596,396,1
729,729,452,1
50,50,512,1
722,722,780,1
352,531,352,2
264,776,264,2
83,83,353,1
243,243,302,1
366,76,366,2
692,353,692,2
526,790,526,2
119,119,281,1
637,637,173,1
735,79,735,2
136,195,136,2
184,184,241,1
139,139,248,1
324,215,324,2
714,570,714,2
25,25,666,1
610,610,630,1
275,275,740,1
658,658,587,1
234,234,202,1
648,648,146,1
562,562,780,1
526,526,87,1
29,29,400,1
473,256,473,2
179,237,179,2
31,10,31,2
368,49,368,2
496,496,54,1
112,112,391,1
719,215,719,2
350,350,238,1
414,546,414,2
213,107,213,2
318,318,176,1
527,527,457,1
67,731,67,2
385,500,385,2
557,557,741,1
405,445,405,2
197,601,197,2
758,281,758,2
288,288,453,1
378,378,323,1
174,174,492,1
56,567,56,2
93,439,93,2
784,660,784,2
476,476,663,1
446,696,446,2
343,564,343,2
423,568,423,2
345,667,345,2
701,397,701,2
611,425,611,2
109,295,109,2
5,759,5,2
263,11,263,2
165,292,165,2
337,43,337,2
417,417,195,1
387,652,387,2
602,207,602,2
140,255,140,2
337,337,585,1
243,94,243,2
495,29,495,2
215,215,356,1
579,593,579,2
154,154,38,1
160,329,160,2
425,569,425,2
476,511,476,2
483,723,483,2
394,394,460,1
596,596,195,1
666,49,666,2
8,8,377,1
67,67,227,1
700,700,359,1
120,120,89,1
613,613,756,1
286,50,286,2
654,654,189,1
460,45,460,2
764,764,669,1
772,712,772,2
617,617,89,1
582,582,756,1
53,53,126,1
276,551,276,2
446,34,446,2
608,152,608,2
626,626,642,1
310,532,310,2
246,239,246,2
367,287,367,2
441,722,441,2
641,626,641,2
154,154,307,1
446,60,446,2
431,431,690,1
629,629,6,1
455,151,455,2
299,299,765,1
499,65,499,2
526,456,526,2
625,74,625,2
154,261,154,2
565,545,565,2
452,452,781,1
524,524,710,1
258,258,579,1
271,686,271,2
305,305,215,1
707,561,707,2
538,579,538,2
708,304,708,2
481,481,321,1
121,121,733,1
152,152,609,1
184,81,184,2
409,349,409,2
635,635,544,1
548,548,435,1
26,527,26,2
431,431,548,1
580,395,580,2
372,372,728,1
430,250,430,2
793,417,793,2
587,587,675,1
72,114,72,2
248,696,248,2
116,191,116,2
296,79,296,2
421,421,622,1
119,119,182,1
268,737,268,2
716,474,716,2
527,151,527,2
473,612,473,2
427,415,427,2
766,214,766,2
649,399,649,2
443,443,415,1
170,305,170,2
587,320,587,2
538,538,284,1
543,543,395,1
786,520,786,2
68,68,399,1
40,40,738,1
28,193,28,2
88,360,88,2
690,377,690,2
550,550,769,1
717,297,717,2
77,77,189,1
521,298,521,2
396,88,396,2
467,282,467,2
37,37,698,1
40,150,40,2
125,125,733,1
20,117,20,2
633,633,445,1
629,629,354,1
434,341,434,2
649,649,452,1
246,246,749,1
608,608,115,1
513,524,513,2
541,541,560,1
126,224,126,2
21,21,167,1
111,111,627,1
612,148,612,2
251,251,88,1
106,739,106,2
442,266,442,2
397,774,397,2
111,464,111,2
134,213,134,2
29,29,211,1
648,190,648,2
129,129,321,1
551,248,551,2
80,80,202,1
513,513,126,1
588,588,779,1
254,254,640,1
444,444,65,1
570,252,570,2
642,354,642,2
398,265,398,2
372,602,372,2
454,454,304,1
7,158,7,2
155,327,155,2
746,87,746,2
663,663,560,1
474,197,474,2
343,645,343,2
56,56,746,1
596,36,596,2
800,440,800,2
95,95,468,1
691,691,493,1
409,159,409,2
478,113,478,2
638,381,638,2
199,199,489,1
589,589,374,1
648,373,648,2
356,735,356,2
714,714,323,1
280,67,280,2
702,702,409,1
476,476,104,1
327,327,560,1
480,450,480,2
632,404,632,2
637,637,652,1
135,132,135,2
2,2,609,1
336,336,207,1
327,561,327,2
115,115,137,1
261,197,261,2
519,519,403,1
127,439,127,2
573,531,573,2
755,755,420,1
154,654,154,2
486,486,37,1
126,604,126,2
265,332,265,2
184,184,150,1
3,388,3,2
316,167,316,2
446,734,446,2
523,492,523,2
717,717,404,1
254,254,53,1
165,466,165,2
590,13,590,2
635,661,635,2
273,760,273,2
537,537,182,1
54,54,328,1
642,457,642,2
328,170,328,2
44,799,44,2
563,627,563,2
404,404,516,1
544,544,793,1
574,9,574,2
710,488,710,2
483,754,483,2
130,130,644,1
788,459,788,2
579,579,495,1
216,216,548,1
101,101,233,1
308,308,10,1
591,591,769,1
172,695,172,2
453,453,774,1
328,328,488,1
631,239,631,2
103,103,465,1
496,496,302,1
248,284,248,2
55,783,55,2
134,134,344,1
266,266,471,1
741,390,741,2
57,57,607,1
504,194,504,2
677,677,344,1
723,723,612,1
228,228,3,1
141,636,141,2
364,364,602,1
772,772,523,1
492,492,294,1
162,162,293,1
710,710,495,1
703,369,703,2
30,30,800,1
632,632,559,1
381,381,644,1
27,293,27,2
56,56,632,1
133,562,133,2
410,113,410,2
335,335,235,1
342,581,342,2
559,321,559,2
186,391,186,2
692,756,692,2
70,70,744,1
463,51,463,2
418,418,294,1
449,73,449,2
47,440,47,2
369,369,577,1
591,38,591,2
651,651,757,1
80,80,396,1
775,775,318,1
430,756,430,2
72,131,72,2
542,440,542,2
203,203,86,1
522,522,537,1
124,530,124,2
40,194,40,2
778,778,290,1
303,489,303,2
416,400,416,2
420,623,420,2
647,389,647,2
793,755,793,2
203,203,353,1
750,496,750,2
130,282,130,2
658,105,658,2
101,216,101,2
797,610,797,2
154,124,154,2
364,621,364,2
211,294,211,2
647,647,176,1
775,775,489,1
29,750,29,2
320,222,320,2
533,533,18,1
366,690,366,2
647,696,647,2
718,443,718,2
600,600,391,1
748,180,748,2
535,416,535,2
359,359,18,1
563,563,304,1
26,26,537,1
710,710,371,1
472,438,472,2
8,8,348,1
675,749,675,2
98,98,323,1
466,390,466,2
166,166,468,1
601,653,601,2
597,695,597,2
241,220,241,2
205,389,205,2
37,37,173,1
241,677,241,2
431,595,431,2
304,668,304,2
21,21,47,1
660,27,660,2
792,792,635,1
232,232,405,1
687,1,687,2
797,392,797,2
747,373,747,2
426,290,426,2
79,79,113,1
687,122,687,2
316,224,316,2
133,375,133,2
451,451,721,1
83,624,83,2
141,651,141,2
164,164,80,1
427,480,427,2
633,633,524,1
242,242,295,1
401,356,401,2
313,612,313,2
757,585,757,2
249,249,527,1
257,257,91,1
397,397,161,1
632,632,615,1
47,47,198,1
511,386,511,2
714,217,714,2
758,361,758,2
583,283,583,2
465,465,180,1
613,763,613,2
780,780,529,1
703,348,703,2
476,476,188,1
215,215,791,1
119,119,407,1
732,732,495,1
175,175,455,1
773,773,199,1
685,239,685,2
729,729,43,1
696,652,696,2
296,296,741,1
476,476,564,1
137,111,137,2
283,334,283,2
704,704,131,1
482,482,378,1
109,124,109,2
280,280,541,1
613,613,363,1
110,110,222,1
181,407,181,2
417,252,417,2
96,2,96,2
524,631,524,2
717,717,735,1
420,586,420,2
550,673,550,2
129,129,502,1
694,397,694,2
791,262,791,2
4,4,719,1
464,486,464,2
595,595,743,1
162,162,267,1
404,404,491,1
158,27,158,2
245,750,245,2
503,733,503,2
766,716,766,2
614,787,614,2
551,551,719,1
536,739,536,2
392,207,392,2
478,444,478,2
79,386,79,2
184,772,184,2
428,666,428,2
694,694,543,1
481,481,500,1
785,517,785,2
366,416,366,2
619,619,683,1
383,383,401,1
732,554,732,2
588,588,497,1
541,541,491,1
598,751,598,2
572,265,572,2
396,775,396,2
724,724,23,1
261,261,577,1
406,406,257,1
623,623,123,1
233,233,630,1
677,193,677,2
535,535,294,1
471,604,471,2
253,531,253,2
431,399,431,2
512,356,512,2
56,35,56,2
274,274,721,1
647,647,645,1
275,275,238,1
541,541,688,1
148,174,148,2
520,279,520,2
684,765,684,2
545,545,277,1
255,297,255,2
307,307,149,1
61,61,517,1
475,475,400,1
740,740,126,1
65,213,65,2
616,289,616,2
573,573,458,1
679,426,679,2
127,387,127,2
477,333,477,2
526,526,141,1
588,705,588,2
62,62,182,1
695,695,456,1
151,662,151,2
663,27,663,2
171,741,171,2
391,734,391,2
643,643,359,1
542,542,615,1
155,155,615,1
536,536,571,1
200,200,482,1
300,300,650,1
147,41,147,2
162,162,305,1
140,140,758,1
423,239,423,2
63,63,632,1
265,265,506,1
93,93,385,1
552,238,552,2
127,609,127,2
155,266,155,2
792,792,290,1
337,337,98,1
31,190,31,2
207,224,207,2
138,744,138,2
306,306,1,1
359,359,88,1
328,328,477,1
699,448,699,2
38,666,38,2
158,158,707,1
631,312,631,2
735,735,279,1
57,40,57,2
786,238,786,2
326,693,326,2
276,739,276,2
216,216,230,1
793,129,793,2
714,714,262,1
513,513,480,1
167,167,529,1
82,182,82,2
466,466,502,1
142,142,295,1
457,573,457,2
427,648,427,2
544,544,668,1
293,622,293,2
161,161,213,1
414,414,264,1
757,757,587,1
229,294,229,2
426,343,426,2
102,634,102,2
368,368,598,1
466,466,757,1
658,458,658,2
714,714,725,1
340,340,239,1
531,119,531,2
47,198,47,2
134,631,134,2
579,191,579,2
163,103,163,2
136,136,661,1
158,652,158,2
57,71,57,2
766,559,766,2
193,689,193,2
184,181,184,2
621,621,784,1
173,173,680,1
585,313,585,2
154,154,417,1
175,86,175,2
516,516,692,1
447,327,447,2
145,145,440,1
130,332,130,2
209,535,209,2
254,531,254,2
299,474,299,2
19,19,670,1
106,617,106,2
280,280,83,1
765,765,689,1
270,767,270,2
435,240,435,2
167,53,167,2
39,442,39,2
704,704,80,1
73,73,237,1
192,95,192,2
383,25,383,2
560,558,560,2
32,315,32,2
570,163,570,2
136,431,136,2
621,488,621,2
475,42,475,2
142,142,296,1
207,207,639,1
483,620,483,2
186,560,186,2
330,330,668,1
371,371,295,1
217,439,217,2
617,617,385,1
165,165,198,1
382,361,382,2
466,466,661,1
299,324,299,2
522,522,671,1
736,728,736,2
130,130,38,1
196,196,207,1
741,741,593,1
525,525,152,1
178,178,750,1
557,401,557,2
128,584,128,2
424,424,3,1
307,56,307,2
535,68,535,2
530,71,530,2
137,137,3,1
709,709,730,1
280,272,280,2
391,96,391,2
673,530,673,2
544,544,130,1
173,221,173,2
57,393,57,2
544,757,544,2
296,681,296,2
276,276,690,1
766,694,766,2
368,507,368,2
632,439,632,2
757,402,757,2
797,676,797,2
588,342,588,2
91,668,91,2
254,328,254,2
742,742,650,1
606,736,606,2
124,124,127,1
472,123,472,2
534,534,605,1
628,619,628,2
555,555,578,1
584,584,18,1
542,542,742,1
713,526,713,2
717,537,717,2
772,772,753,1
59,59,132,1
708,25,708,2
747,747,255,1
427,427,315,1
31,31,404,1
42,42,669,1
3,282,3,2
170,170,51,1
13,404,13,2
796,328,796,2
357,441,357,2
760,760,562,1
92,143,92,2
544,544,192,1
694,694,487,1
261,261,179,1
304,235,304,2
342,342,796,1
340,340,603,1
313,290,313,2
627,157,627,2
799,799,187,1
329,329,595,1
421,421,417,1
349,381,349,2
132,132,232,1
3,3,770,1
127,127,81,1
330,207,330,2
476,659,476,2
588,588,116,1
133,133,468,1
200,200,624,1
222,321,222,2
340,340,596,1
519,519,591,1
194,389,194,2
180,665,180,2
603,603,563,1
575,379,575,2
671,122,671,2
64,64,14,1
795,795,672,1
124,124,509,1
524,162,524,2
103,103,665,1
455,239,455,2
651,193,651,2
138,138,729,1
280,280,252,1
153,153,304,1
164,123,164,2
386,89,386,2
631,151,631,2
424,424,754,1
103,329,103,2
730,730,750,1
398,398,402,1
634,634,210,1
60,60,379,1
67,120,67,2
588,95,588,2
436,29,436,2
624,515,624,2
622,455,622,2
132,779,132,2
279,191,279,2
51,321,51,2
608,608,174,1
671,73,671,2
568,770,568,2
472,472,220,1
437,437,140,1
436,29,436,2
551,231,551,2
774,211,774,2
656,656,152,1
219,412,219,2
535,289,535,2
354,354,470,1
438,688,438,2
252,1,252,2
535,535,95,1
679,679,459,1
36,74,36,2
553,73,553,2
436,436,741,1
368,69,368,2
685,379,685,2
163,163,470,1
309,309,729,1
717,717,99,1
305,332,305,2
410,410,486,1
528,586,528,2
724,724,258,1
730,604,730,2
437,437,386,1
475,250,475,2
540,559,540,2
82,658,82,2
228,228,197,1
259,239,259,2
92,102,92,2
590,27,590,2
721,721,77,1
638,672,638,2
553,553,122,1
538,780,538,2
672,54,672,2
511,35,511,2
538,538,74,1
466,466,375,1
84,119,84,2
730,669,730,2
31,31,151,1
340,536,340,2
568,568,175,1
82,82,53,1
1,1,684,1
35,121,35,2
799,333,799,2
679,579,679,2
792,238,792,2
553,770,553,2
261,261,231,1
288,44,288,2
406,565,406,2
537,397,537,2
388,388,577,1
742,83,742,2
371,152,371,2
397,397,778,1
642,642,395,1
314,689,314,2
385,385,402,1
785,568,785,2
448,433,448,2
710,482,710,2
136,469,136,2
745,667,745,2
623,595,623,2
118,118,238,1
428,428,279,1
390,257,390,2
309,516,309,2
242,242,75,1
262,190,262,2
93,734,93,2
348,323,348,2
333,194,333,2
283,661,283,2
88,88,577,1
58,577,58,2
437,437,539,1
253,506,253,2
501,50,501,2
134,753,134,2
542,443,542,2
520,41,520,2
438,494,438,2
702,702,554,1
590,468,590,2
530,681,530,2
67,752,67,2
117,753,117,2
631,486,631,2
38,38,304,1
216,216,195,1
767,767,231,1
575,575,417,1
793,791,793,2
398,503,398,2
634,634,119,1
349,349,196,1
349,349,480,1
410,357,410,2
42,42,289,1
735,118,735,2
531,644,531,2
416,203,416,2
724,724,124,1
481,481,95,1
465,318,465,2
405,405,332,1
296,10,296,2
71,71,619,1
476,476,96,1
309,774,309,2
148,148,333,1
446,651,446,2
657,657,791,1
174,174,734,1
360,360,395,1
546,261,546,2
133,298,133,2
701,701,246,1
204,204,753,1
63,594,63,2
48,48,320,1
532,253,532,2
736,452,736,2
7,770,7,2
481,386,481,2
429,138,429,2
600,600,440,1
596,323,596,2
495,495,355,1
68,68,152,1
750,750,101,1
765,445,765,2
325,195,325,2
194,669,194,2
407,87,407,2
388,388,594,1
720,720,243,1
704,627,704,2
115,115,343,1
44,113,44,2
455,455,605,1
313,118,313,2
679,717,679,2
229,97,229,2
335,515,335,2
397,769,397,2
729,729,146,1
372,325,372,2
115,283,115,2
545,545,667,1
563,563,457,1
565,565,62,1
636,684,636,2
404,404,434,1
341,341,82,1
555,555,559,1
350,81,350,2
706,706,55,1
563,563,207,1
318,781,318,2
272,272,366,1
265,300,265,2
56,56,116,1
704,789,704,2
377,377,146,1
528,528,86,1
450,450,720,1
117,180,117,2
44,44,603,1
11,11,405,1
518,518,675,1
134,134,739,1
589,239,589,2
746,182,746,2
4,751,4,2
550,550,243,1
23,23,645,1
331,331,56,1
184,296,184,2
155,155,242,1
93,93,15,1
480,480,380,1
110,329,110,2
158,349,158,2
628,790,628,2
104,327,104,2
795,101,795,2
138,138,681,1
177,177,153,1
58,442,58,2
715,595,715,2
249,249,14,1
271,309,271,2
396,396,211,1
792,792,255,1
298,761,298,2
477,215,477,2
687,53,687,2
328,220,328,2
244,667,244,2
425,687,425,2
723,532,723,2
22,191,22,2
629,239,629,2
233,365,233,2
490,490,594,1
557,557,248,1
533,533,299,1
30,30,767,1
243,243,15,1
496,132,496,2
534,534,13,1
202,73,202,2
523,523,41,1
158,386,158,2
437,437,470,1
768,374,768,2
414,414,9,1
200,200,346,1
585,585,443,1
394,563,394,2
432,432,437,1
631,631,21,1
221,221,431,1
214,214,455,1
640,640,626,1
583,583,65,1
29,29,471,1
506,506,80,1
289,452,289,2
617,51,617,2
364,364,336,1
713,347,713,2
175,175,571,1
174,156,174,2
428,428,508,1
605,605,156,1
260,456,260,2
583,643,583,2
731,731,723,1
20,20,227,1
350,350,525,1
204,653,204,2
683,355,683,2
350,433,350,2
11,11,360,1
645,391,645,2
60,738,60,2
26,26,753,1
649,649,299,1
705,705,127,1
724,724,611,1
598,598,389,1
484,484,21,1
703,703,619,1
773,200,773,2
63,122,63,2
56,411,56,2
270,270,708,1
317,403,317,2
674,598,674,2
478,478,310,1
715,186,715,2
483,405,483,2
520,751,520,2
158,602,158,2
648,648,380,1
621,70,621,2
687,687,212,1
280,280,181,1
11,318,11,2
723,791,723,2
614,411,614,2
82,604,82,2
99,54,99,2
245,245,198,1
765,765,743,1
503,503,530,1
706,706,534,1
453,453,29,1
361,310,361,2
723,723,615,1
269,764,269,2
775,775,88,1
341,341,789,1
5,64,5,2
245,577,245,2
528,707,528,2
540,540,538,1
615,615,182,1
341,798,341,2
286,776,286,2
547,343,547,2
767,767,281,1
61,188,61,2
580,665,580,2
701,701,628,1
42,117,42,2
442,442,485,1
148,148,207,1
758,758,566,1
607,607,417,1
57,57,74,1
554,230,554,2
106,435,106,2
438,308,438,2
224,210,224,2
471,82,471,2
82,82,324,1
234,406,234,2
787,787,607,1
449,449,389,1
45,45,220,1
680,680,382,1
409,409,650,1
690,609,690,2
148,738,148,2
438,438,488,1
523,454,523,2
560,42,560,2
383,468,383,2
80,80,661,1
449,789,449,2
437,60,437,2
242,500,242,2
116,116,161,1
527,527,29,1
771,11,771,2
126,739,126,2
119,119,763,1
453,453,530,1
553,553,36,1
223,223,315,1
499,499,369,1
652,652,532,1
478,670,478,2
246,345,246,2
758,567,758,2
159,159,207,1
228,117,228,2
360,360,649,1
281,360,281,2
249,249,457,1
152,654,152,2
794,461,794,2
368,368,107,1
523,200,523,2
359,669,359,2
408,408,10,1
22,22,504,1
93,713,93,2
116,373,116,2
458,458,210,1
259,65,259,2
539,539,594,1
739,739,38,1
24,24,533,1
41,626,41,2
72,72,250,1
340,695,340,2
647,647,673,1
75,75,400,1
212,230,212,2
679,679,727,1
40,613,40,2
296,457,296,2
349,349,504,1
638,468,638,2
629,126,629,2
275,275,189,1
383,309,383,2
532,532,164,1
646,646,287,1
603,437,603,2
339,342,339,2
84,547,84,2
454,454,323,1
40,40,665,1
715,783,715,2
135,9,135,2
694,694,490,1
444,444,246,1
247,693,247,2
623,623,490,1
166,731,166,2
703,363,703,2
36,636,36,2
764,764,217,1
136,136,232,1
429,582,429,2
150,226,150,2
136,136,140,1
363,586,363,2
2,624,2,2
774,201,774,2
180,180,404,1
118,118,188,1
565,123,565,2
362,383,362,2
51,107,51,2
388,388,282,1
326,326,639,1
283,283,226,1
408,325,408,2
632,530,632,2
234,617,234,2
633,399,633,2
85,85,315,1
141,473,141,2
708,60,708,2
686,686,482,1
348,348,207,1
139,688,139,2
174,29,174,2
562,491,562,2
175,149,175,2
437,437,408,1
303,303,167,1
631,584,631,2
216,216,657,1
311,11,311,2
542,542,468,1
511,514,511,2
313,739,313,2
519,519,191,1
134,134,539,1
697,10,697,2
785,785,308,1
300,300,244,1
386,690,386,2
158,158,283,1
694,694,567,1
736,642,736,2
223,223,752,1
493,770,493,2
775,661,775,2
648,648,698,1
338,511,338,2
302,302,698,1
360,360,140,1
56,666,56,2
694,694,790,1
300,102,300,2
280,280,247,1
703,599,703,2
94,94,564,1
425,323,425,2
702,779,702,2
718,741,718,2
766,766,739,1
394,484,394,2
663,630,663,2
619,486,619,2
234,161,234,2
212,102,212,2
673,673,88,1
793,346,793,2
744,744,107,1
228,599,228,2
250,777,250,2
55,55,507,1
494,494,308,1
708,708,260,1
467,684,467,2
220,220,406,1
673,673,390,1
603,354,603,2
760,760,680,1
797,492,797,2
731,731,512,1
182,652,182,2
757,757,639,1
772,270,772,2
549,549,571,1
699,699,587,1
696,527,696,2
421,247,421,2
555,680,555,2
6,45,6,2
758,758,755,1
373,373,678,1
350,350,437,1
269,245,269,2
131,131,399,1
36,290,36,2
469,469,245,1
349,191,349,2
216,75,216,2
536,536,246,1
784,384,784,2
26,26,171,1
229,295,229,2
249,371,249,2
674,674,27,1
101,35,101,2
28,445,28,2
163,163,764,1
284,231,284,2
732,732,55,1
326,74,326,2
444,444,651,1
665,188,665,2
79,180,79,2
761,761,463,1
576,576,338,1
461,587,461,2
205,205,30,1
7,562,7,2
50,626,50,2
463,297,463,2
528,755,528,2
651,651,133,1
547,446,547,2
757,757,70,1
424,142,424,2
679,307,679,2
799,770,799,2
127,404,127,2
526,526,728,1
615,592,615,2
311,311,722,1
72,72,288,1
472,472,463,1
179,402,179,2
341,112,341,2
26,387,26,2
136,615,136,2
426,315,426,2
670,51,670,2
275,566,275,2
711,568,711,2
598,385,598,2
212,11,212,2
764,764,578,1
508,508,112,1
407,41,407,2
635,502,635,2
474,474,107,1
427,623,427,2
622,439,622,2
463,463,598,1
80,415,80,2
704,704,551,1
209,209,559,1
185,185,331,1
484,484,170,1
361,373,361,2
320,359,320,2
630,630,769,1
299,380,299,2
161,161,695,1
766,375,766,2
98,332,98,2
38,38,680,1
434,434,382,1
133,133,576,1
304,304,374,1
274,167,274,2
530,530,395,1
34,400,34,2
8,159,8,2
395,685,395,2
746,38,746,2
350,350,215,1
552,524,552,2
7,283,7,2
124,124,416,1
772,772,148,1
525,525,433,1
166,449,166,2
98,354,98,2
377,683,377,2
587,251,587,2
663,769,663,2
736,736,325,1
341,341,559,1
438,438,320,1
434,303,434,2
559,559,290,1
629,536,629,2
279,11,279,2
517,517,289,1
521,521,75,1
340,639,340,2
791,791,188,1
428,43,428,2
540,540,445,1
627,309,627,2
718,482,718,2
164,164,269,1
350,350,11,1
452,365,452,2
406,560,406,2
440,107,440,2
146,146,615,1
142,142,83,1
481,749,481,2
737,97,737,2
778,778,269,1
44,44,579,1
428,428,305,1
606,351,606,2
681,500,681,2
344,19,344,2
41,41,69,1
732,544,732,2
554,157,554,2
4,4,75,1
794,794,605,1
410,410,701,1
590,662,590,2
71,71,737,1
509,243,509,2
185,185,375,1
427,427,714,1
249,238,249,2
127,127,117,1
153,153,750,1
623,623,81,1
102,102,572,1
776,776,360,1
545,545,387,1
423,423,534,1
117,117,487,1
345,579,345,2
552,622,552,2
727,188,727,2
636,636,289,1
314,543,314,2
161,161,196,1
58,4,58,2
610,610,676,1
707,707,302,1
574,574,539,1
481,481,543,1
264,264,693,1
47,47,615,1
785,785,397,1
177,464,177,2
677,677,44,1
384,278,384,2
574,574,1,1
263,333,263,2
646,646,54,1
727,727,502,1
764,764,321,1
64,754,64,2
20,471,20,2
194,194,117,1
254,254,323,1
147,147,278,1
475,523,475,2
648,800,648,2
159,746,159,2
482,593,482,2
116,571,116,2
494,494,250,1
574,574,333,1
201,355,201,2
314,314,186,1
193,193,244,1
116,245,116,2
341,341,567,1
591,578,591,2
58,58,612,1
573,577,573,2
629,649,629,2
606,606,436,1
245,245,591,1
747,747,96,1
576,738,576,2
166,474,166,2
448,86,448,2
341,720,341,2
60,60,769,1
532,633,532,2
543,543,510,1
152,152,615,1
249,249,569,1
707,707,613,1
394,224,394,2
712,712,49,1
638,638,667,1
795,382,795,2
134,22,134,2
494,466,494,2
420,378,420,2
243,243,762,1
92,227,92,2
53,667,53,2
300,300,245,1
432,778,432,2
344,779,344,2
47,149,47,2
548,754,548,2
538,423,538,2
38,149,38,2
185,35,185,2
642,642,346,1
380,119,380,2
581,581,462,1
13,175,13,2
203,489,203,2
445,445,294,1
751,751,411,1
274,274,325,1
249,775,249,2
465,454,465,2
21,208,21,2
270,270,341,1
691,491,691,2
19,19,16,1
614,614,169,1
513,513,187,1
794,794,412,1
579,194,579,2
351,54,351,2
541,42,541,2
634,555,634,2
284,284,335,1
532,254,532,2
626,736,626,2
704,704,80,1
